,nama,harga,deskripsi,detail,link gambar,link
10,Kisah Nyata Membuka Pintu Rezeki Dengan Amalan Sunah,"Rp.34,800 ","
          Ini adalah kumpulan kisah nyata tentang orang yang membuka Pintu Rezeki dengan Amalan Sunnah yang diajarkan dalam agama Islam. Dengan melakukan amalan-amalan ibadaha serta doa-doa yang tealh diajarkan oleh Allah dan Rasulnya dapat mengantarkan kita memperoleh rezeki ketenangan, ketentraman, dan kedamaian di dunia dan akhirat, kebahagian di alam rezeki materi yang dipenuhi keberkahan sesuo dengan apa yang telah dijanjikan oleh Allah SWT dalam Surat An-Nahl 97 yang artinya 'Barang siapa mengerjakan amal shalih, baik laki-laki maupun perempuan dalam keadaa beriman, maka sesungguhnya akan kami berikan kepadanya kehidupan yang baik dan sesungguhnya akan kami beri balasan kepada mereka dengan pahala yang lebih baik dari apa yang telah mereka kerjakan.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '204 halaman', 'Dimensi': '13.5x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Dida Pustaka', 'Penulis': 'Jubair Tablig Syahid', 'Berat': '450 gram', 'Product Tags': ' \nagama\nbuku agama\ndida pustaka\njubair tablig syahid\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide327-cr-500x500.jpeg,https://www.solusibuku.com/agama/kisah-nyata-membuka-pintu-rezeki-dengan-amalan-sunah.html
11,Kisah Nyata Keberkahan Para Pengamal Shalat Dhuha & Tahajud,"Rp.50,000 ","
          Buku karya Aqilah Selma Amalia menjelaskan banyak keberkahan dan pengamal Shalat Dhuha dan Tahajud yang merupakan dua Sholat Sunnah yang paling utama. Cerita-cerita di dalam buku ini adalah kisah nyata yang disusun oleh sang penulis. Dari sekian kisah nyata tersebut ada diantaranya adalah pengalaman dimudahkan rezekinya, diberikan kesehatan dan keselamatan dan didekatkan dengan keberuntungan karena menjalankan Sholat Sunnah Dhuha dan Tahajud.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '272 halaman', 'Dimensi': '20.5x13.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Dida Pustaka', 'Penulis': 'Aqilah Selma Amalia', 'Berat': '300 gram', 'Product Tags': ' \nagama\naqilah selma amalia\nbuku agama\ndida pustaka\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide334-cr-500x500.jpeg,https://www.solusibuku.com/agama/kisah-nyata-keberkahan-para-pengamal-shalat-dhuha-tahajud.html
12,Doa Anak Muslim Sehari Hari,"Rp.21,600 ","
          Buku ini adalah kumpulan buku doa-doa sehari-hari Anak Sholih-SHOLIHAH ini disusun tak hany untuk selalu mengingat Allah SWT, tetapi juga membiasakan mereka selalu menerapkan kehidupan berdasarkan ajaran agama. Selain beiris doa dalam bahasa Arab, buku juga dilengkapi terjemahan serta tak lupa artinya. Tujuannnya agar anak-anak bisa memahamai doa-doa sehari-hari dengan mudah.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '80 halaman', 'Dimensi': '18x12.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Ecosystem', 'Penulis': 'Drs. Agus Hidayat', 'Berat': '350 gram', 'Product Tags': ' \nagama\nbuku agama\ndrs agus hidayat\necosystem\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide357-cr-500x500.jpeg,https://www.solusibuku.com/agama/doa-anak-muslim-sehari-hari.html
13,The Meaningful Life With Rumi,"Rp.63,200 ","
          Berisi biografi Jalaluddin Rumi dan kumpulan kearifan Jalaluddin Rumi dari berbagai karyanya. Terdapat beberapa petuah yang dapat menjadi bahan renungan dalam menyelamatkan krisis identitas Ilalah, kebahagiaan, dan tanggung jawab kemanusiaan.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '224 halaman', 'Dimensi': '14x20 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Out of Stock', 'Penerbit': 'Forum Edukasi', 'Penulis': 'Abd. Kholiq', 'Berat': '400 gram', 'Product Tags': ' \nabd kholiq\nagama\nbuku agama\nforum edukasi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide392-cr-500x500.jpeg,https://www.solusibuku.com/agama/the-meaningful-life-with-rumi.html
14,Risalah Ibnu Fadhlan,"Rp.54,400 ","
          Buku ini adalah dokumentasi perjalanan ekspedisinya ke wilayah Rusia atas perintah dari Khalifah Al-Muqtadir Billa–para sejarawan menyebutkan bahwa Al-Muqtadir Billah adalah Ja’far bin Al-Khalifah al Mutadhid–dalam kurun waktu selama tiga tahun pada 921 Masehi. Dalam buku ini, Ibnu Fadhlan memberikan laporan yang sangat menarik tentang keadaan daerah yang dilewatinya, meliputi gambaran geogarfi wilayah, kondisi sosial masyarakat, agama dan kepercayaannya, hingga bentuk badan atau wajah bangsa yang dijumpai.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '200 halaman', 'Dimensi': '20x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Forum Edukasi', 'Penulis': 'Ahmad Ibnu Fadhlan', 'Berat': '350 gram', 'Product Tags': ' \nagama\nahmad ibnu fadhlan\nbuku agama\nforum edukasi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide395-cr-500x500.jpeg,https://www.solusibuku.com/agama/risalah-ibnu-fadhlan.html
15,Doa & Zikir Harian Ibu Hamil & Menyusui,"Rp.31,200 ","
          Buku terbitan Semesta Hikmah ini merupakan buku yang dikhususkan bagi para Ibu Hamil & Menyusui. Buku ini berisi doa-doa dan zikir untuk para Ibu Hamil dan Menyesui seperti; doa ketika hendak melahirkan, Doa Agar Melanhirkan dengan Lancar, Doa Agar Dikaruniai Anak, Doa Mohon Diberi Keselamatan, Doa Untuk Ibu Hamil, Doa Ibu yang Sedang Menyusui, Doa untuk Ibu Nifas dan sebagainya.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '196 halaman', 'Dimensi': '12x18 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Semesta Hikmah Publishing', 'Penulis': 'Nur K', 'Berat': '450 gram', 'Product Tags': ' \nagama\nbuku agama\nnur k\nsemesta hikmah publishing\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide561-cr-500x500.jpeg,https://www.solusibuku.com/agama/doa-zikir-harian-ibu-hamil-menyusui.html
16,105 Wasiat Nabi Saw Untuk Muslimah,"Rp.41,600 ","
          Buku ini berisi 105 nasihat/pesan dari Rasulullah Saw. kepada para muslimah untuk selalu memperbaiki dan meningkatkan kualitas diri. Di dalamnya terdapat 5 tema besar yang mencakup segala aspek kehidupan. Ditulis dengan bahasa yang lugas dan mudah dipahami serta dikupas secara mendetail dan mendalam. In-syaa Allah buku ini akan memperbaiki dan meningkatkan kualitas diri kita –khususnya para muslimah.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '240 halaman', 'Dimensi': '20.5x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Semesta Hikmah Publishing', 'Penulis': 'Mohammad Irsyad, M.Pd.I', 'Berat': '500 gram', 'Product Tags': ' \nagama\nbuku agama\nmohammad irsyad mpdi\nsemesta hikmah publishing\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide571-cr-500x500.jpeg,https://www.solusibuku.com/agama/105-wasiat-nabi-saw-untuk-muslimah.html
17,Hijrah,"Rp.50,400 ","
          Buku ini berisi tentang proses perjalanan menemukan cahaya Ilahi, Pengalaman spiritual yang sangat berharga, proses hijrah dari dunia hitam menuju ke dunia putih.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '274 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Syalmahat Publishing', 'Penulis': 'Ir. Chandra Soensoekarno', 'Berat': '500 gram', 'Product Tags': ' \nagama\nbuku agama\nir chandra soensoekarno\nsyalmahat publishing\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide580-cr-500x500.jpeg,https://www.solusibuku.com/agama/hijrah.html
18,Kumpulan Doa Istri Untuk Sukses Suami,"Rp.34,000 ","
          Buku ini berisi uraian pentingnya peranan seorang istri dalam membina sebuah keluarga khususnya kepada sang suami agar suami selalu taat kepada Allah Swt., bertanggung jawab kepada keluarga, dan setia serta sayang kepada istri dan anak-anaknya.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '188 halaman', 'Dimensi': '20.5x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Semesta Hikmah Publishing', 'Penulis': 'Ummi Iktafa', 'Berat': '500 gram', 'Product Tags': ' \nagama\nbuku agama\nsemesta hikmah publishing\nummi iktafa\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide026-cr-500x500.jpeg,https://www.solusibuku.com/agama/kumpulan-doa-istri-untuk-sukses-suami.html
19,40  Kisah Mukjizat Dalam Alkitab,"Rp.43,200 ","
          Dalam buku ini, kita akan menemukan mukjizat yang sangat luar biasa dalam Kitab Suci. Dalam berbagai mukjizat itu, kuasa Tuhan sangat nampak. Dalam setiap mukjizat terdapat kata-kata mutiara yang dapat membantu kita memaknai setiap mukjizat.        ","{'Kategori': 'Agama', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '86 halaman', 'Dimensi': '15x23 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Chivita Books', 'Penulis': 'Andreas Rudiyanto', 'Berat': '500 gram', 'Product Tags': ' \nagama\nandreas rudiyanto\nbuku agama\nchivita books\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide036-cr-500x500.jpeg,https://www.solusibuku.com/agama/40-kisah-mukjizat-dalam-alkitab.html
