,nama,harga,deskripsi,detail,link
244,Simple & Fun Copy Coloring Hewan Bawah Laut,"Rp.31,200 ","
          Buku ini berisi aneka objek hewan bawah laut yang tampak menarik dan jenaka. Garisnya berbentuk vektor sehingga terlihat jelas dan tajam (tidak pudar). Si kecil bisa mewarnai gambar tersebut berdasarkan imajinasinya, atau bisa juga mewarnainya berdasarkan gambar berwarna yang sudah tersedia.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '44 Halaman', 'Dimensi': '18 x 24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Checklist Studio', 'Berat': '300 gram', 'Product Tags': ' \nbuku keterampilan anak\nchecklist\nchecklist studio\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/simple-fun-copy-coloring-hewan-bawah-laut.html
245,Simple & Fun Copy Coloring Pemandangan Alam,"Rp.31,200 ","
          Buku ini berisi aneka objek pemandangan alam yang tampak menarik dan jenaka. Garisnya berbentuk vektor sehingga terlihat jelas dan tajam (tidak pudar). Si kecil bisa mewarnai gambar tersebut berdasarkan imajinasinya, atau bisa juga mewarnainya berdasarkan gambar berwarna yang sudah tersedia.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '44 Halaman', 'Dimensi': '18 x 24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Checklist Studio', 'Berat': '300 gram', 'Product Tags': ' \nbuku keterampilan anak\nchecklist\nchecklist studio\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/simple-fun-copy-coloring-pemandangan-alam.html
246,Simple & Fun Copy Coloring Kerajaan Impian,"Rp.31,200 ","
          Buku ini berisi aneka objek kerajaan yang tampak menarik dan jenaka. Garisnya berbentuk vektor sehingga terlihat jelas dan tajam (tidak pudar). Si kecil bisa mewarnai gambar tersebut berdasarkan imajinasinya, atau bisa juga mewarnainya berdasarkan gambar berwarna yang sudah tersedia.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': ' 18 halaman', 'Dimensi': '18 x 24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Checklist Studio', 'Berat': '250 gram', 'Product Tags': ' \nbuku keterampilan anak\nchecklist\nchecklist studio\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/simple-fun-copy-coloring-kerajaan-impian.html
247,Aktivitas Balita Cerdas,"Rp.23,200 ","
          Buku ini berisi aktivitas balita super seru. Materi yang terdapat dalam buku ini seperti mengenal hewan, membaca, berhitung, games menarik, dan mewarnai. Buku ini makin menarik dengan gambar hewan yang jenakan dan full color. Tunggu apalagi, jangan sampai kehabisan bun ^^        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': ' 18 halaman', 'Dimensi': '18 x 24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Amazing Books', 'Penulis': 'Amazing Kids', 'Berat': '250 gram', 'Product Tags': ' \namazing\namazing kids\nbuku keterampilan anak\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/aktivitas-balita-cerdas.html
248,Kisah Mahadahsyat 25 Nabi & Rasul,"Rp.71,200 ","
Buku ini berisi kisah-kisah singkat dari 25 Nabi dan Rasul yang sangat inspiratif. Dengan buku ini, anak-anak akan diajak untuk meneladani atau mengambil hikmah dari setiap kisah yang telah dipaparkan. Dilengkapi pula dengan tema ""You Must Know"" yang berisi fakta-fakta seputar 25 Nabi dan Rasul, sehingga anak akan mengenal lebih dekat dengan 25 Nabi dan Rasul utusan Allah.
","{'Kategori': 'Cerita Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': ' 18 halaman', 'Dimensi': '18 x 26 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Media Firdaus', 'Penulis': ""Abdul Mun'Im Qindil"", 'Berat': '250 gram', 'Product Tags': ' \nbuku cerita anak\ncerita anak\nmedia firdaus\ntristanti wahyuni\n\n'}",https://www.solusibuku.com/buku-anak/kisah-mahadahsyat-25-nabi-rasul.html
249,365 Cerita Islami Paling Favorit,"Rp.159,200","
          Buku ini berisi kisah-kisah yang bernuansa Islami sebanyak 365 cerita. Dengan jumlah cerita sebanyak itu, maka buku ini bisa digunakan selama setahun, yakni dengan membacakan kisah-kisah menarik tersebut untuk si kecil sebanyak satu cerita per hari. Dilengkapi dengan pesan moral yang merupakan hikmah dari setiap cerita.        ","{'Kategori': 'Cerita Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': ' 18 halaman', 'Dimensi': '18 x 24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Mulasih Tary', 'Berat': '300 gram', 'Product Tags': ' \nbuku cerita anak\ncerita anak\nchecklist\ndkk\nmulasih tary\n\n'}",https://www.solusibuku.com/buku-anak/365-cerita-islami-paling-favorit.html
250,Angka Huruf & Benda Sekitar Kartu Cerdas Anak Hebat,"Rp.96,000 ","
          Buku ini berisi 95 kartu bergambar angka, huruf dan benda sekitar. Satu kartu berisi informasi singkat membahas angka, huruf atau benda sekitar secara tuntas. Setiap kartu memuat materi pengetahuan dasar yang dapat merangsang perkembangan otak dan kecerdasan si kecil. Selain itu, dalam kartu juga berfokus pada pembentukan kalimat, tata bahasa, kosakata Indonesia-Inggris.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': ' 12 halaman', 'Dimensi': '12 x 17 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Scritto Books', 'Penulis': 'Abd. Wahab Syahroni', 'Berat': '350 gram', 'Product Tags': ' \nbuku keterampilan anak\nketerampilan anak\nscritto books\ntim scritto\n\n'}",https://www.solusibuku.com/buku-anak/angka-huruf-benda-sekitar-kartu-cerdas-anak-hebat.html
251,Dinosaurus Paling Keren Aku Juara Mewarnai,"Rp.39,200 ","
          Buku mewarnai dinosaurus paling keren berisi gambar – gambar yang sangat menarik dan beda daripada yang lainnya. Ukuran lebih besar untuk mendukung aktifitas mewarnai dengan pastel warna. Buku ini dapat digunakan mulai usia 3 tahun keatas, sebagai media belajar dan kegiatan yang membangun kreatifitas pada anak. Mengalihkan ketergantungan menggunakan gadget dan meningkatkan sistem motorik dari aktifitas mewarnai, melatih ketelitian, kesabaran dan emosional pilihan warna yang digunakan. Dicetak ekslusif dengan Cover Glossy dan Finishing Emboss untuk aksen lebih hidup dan fullcolor.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '32 halaman', 'Dimensi': '21 x 29.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Efde Media', 'Penulis': 'Abdullah Al-Marwi', 'Berat': '250 gram', 'Product Tags': ' \nbuku keterampilan anak\nefde media\nketerampilan anak\nmvnky studio\n\n'}",https://www.solusibuku.com/buku-anak/dinosaurus-paling-keren-aku-juara-mewarnai.html
252,Liburan Di Kebun Binatang Aku Juara Mewarnai,"Rp.39,200 ","
          Buku mewarnai liburan di kebun binatang gambar – gambar yang sangat menarik dan beda daripada yang lainnya. Ukuran lebih besar untuk mendukung aktifitas mewarnai dengan pastel warna. Buku ini dapat digunakan mulai usia 3 tahun keatas, sebagai media belajar dan kegiatan yang membangun kreatifitas pada anak. Mengalihkan ketergantungan menggunakan gadget dan meningkatkan sistem motorik dari aktifitas mewarnai, melatih ketelitian, kesabaran dan emosional pilihan warna yang digunakan. Dicetak ekslusif dengan Cover Glossy dan Finishing Emboss untuk aksen lebih hidup dan fullcolor.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '32 halaman', 'Dimensi': '21 x 29.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Efde Media', 'Penulis': 'Abdullah Al-Marwi', 'Berat': '250 gram', 'Product Tags': ' \nbuku keterampilan anak\nefde media\nketerampilan anak\nmvnky studio\n\n'}",https://www.solusibuku.com/buku-anak/liburan-di-kebun-binatang-aku-juara-mewarnai.html
253,Aku Juara Mewarnai CitaCitaku,"Rp.39,200 ","
          Buku mewarnai cita – citaku berisi gambar – gambar yang sangat menarik dan beda daripada yang lainnya. Ukuran lebih besar untuk mendukung aktifitas mewarnai dengan pastel warna. Buku ini dapat digunakan mulai usia 3 tahun keatas, sebagai media belajar dan kegiatan yang membangun kreatifitas pada anak. Mengalihkan ketergantungan menggunakan gadget dan meningkatkan sistem motorik dari aktifitas mewarnai, melatih ketelitian, kesabaran dan emosional pilihan warna yang digunakan. Dicetak ekslusif dengan Cover Glossy dan Finishing Emboss untuk aksen lebih hidup dan fullcolor.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '32 halaman', 'Dimensi': '21 x 29.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Efde Media', 'Penulis': 'Fera Herlina & Tim Svr Creative Studio', 'Berat': '300 gram', 'Product Tags': ' \nbuku keterampilan anak\nefde media\nfera herlina\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/aku-juara-mewarnai-cita-citaku.html
