,Kategori,Nama Produk,Deskripsi Produk,SKU Induk,Produk Berbahaya,Kode Integrasi Variasi,Nama Variasi 1,Varian untuk Variasi 1,Foto Produk per Varian,Nama Variasi 2,Varian untuk Variasi 2,Harga,Stok,Kode Variasi,Panduan Ukuran,Foto Sampul,Foto Produk 1,Foto Produk 2,Foto Produk 3,Foto Produk 4,Foto Produk 5,Foto Produk 6,Foto Produk 7,Foto Produk 8,Berat,Panjang,Lebar,Tinggi,Reguler (Cashless),Hemat,Jangka Dikirim Dalam Pre-order,Dikirim Dalam Pre-order,Merek,Negara Asal,Masa Garansi,Jenis Garansi,Perusahaan Penerbit,Negara,Bahasa,Impor/Lokal,Terbit,ISBN,Jenis Edisi,Kota,Jenis Cover,Tahun
606,,All The Rivers,"
Sebuah kisah kontroversial pemenang penghargaan karya salah satu novelis terbaik Israel
Liat, seorang mahasiswa dari Israel, berjumpa dengan seorang seniman muda berbakat dari Palestina bernama Hilmi. Liat berencana kembali ke Israel pada musim panas berikutnya. Namun, pesona pada imajinasi Hilmi yang hidup seolah membiusnya. Dibiarkan dirinya terpikat pada tangan Hilmi yang indah dan matanya yang bijaksana, juga sikap manis serta kesetiaannya. Cinta yang terjalin erat dan hangat membuat Liat mengabaikan kenyataan bahwa tanah air mereka tidak pernah memberikan restu. Liat ingin terus mendengar tawa renyah Hilmi meski tahu perpisahan selalu mengintai mereka.
Bersama-sama mereka menjelajahi kota, berbagi tawa, fantasi, dan rasa rindu kampung halaman. Di antara kemesraan itu, Liat diam-diam menyembunyikan perasaan bersalah yang terus mengancamnya, karena telah menyembunyikan hubungan mereka dari keluarganya di Israel dan teman-teman Yahudinya di New York. Ketika tanggal kepulangannya semakin dekat, sementara dirinya tak lagi mampu membayangkan hidup tanpa Hilmi, Liat terpaksa memutuskan apakah dia bersedia mengambil risiko mengorbankan keluarga, komunitas, dan identitas dirinya demi cintanya terhadap Hilmi.
Novel ini sempat dilarang dibaca di Israel oleh Kementerian Pendidikan Israel karena di-anggap sebagai “ancaman terhadap identitas Yahudi”. Ditulis dengan detail puitis, kaya, dan jujur, novel ini membuktikan bahwa cinta adalah kekuatan yang mampu menerabas segala sekat bangsa, bahasa, agama, dan budaya, sekaligus belati bermata dua yang bisa begitu dalam menancapkan luka.
",,,,,,,,,92649,99,,,https://www.solusibuku.com/image/c/data/2021/EKSOKT21ALLTHERIVERS-cr-500x500.JPG,https://www.solusibuku.com/image/c/data/2021/EKSOKT21ALLTHERIVERS-cr-500x500.JPG,,,,,,,,450,13.0,20.0,3.9,,,,,0,,,,Penerbit Mandiri,,Bahasa Indonesia,,,,,,,
607,,Walden,"
Thoreau melihat kekerasan di balik tatanan yang mapan, sifat kepemilikan pribadi yang memperbudak, dan sebuah tren yang bahkan lebih kuat sekarang daripada 40 tahun lalu substitusi media atas berita sebagai realitas personal. Dalam kegelapan yang besar ini kita hanya dapat menyulut cahaya yang minim, seperti lampu di dalam kabin, dalam kesadaran kita sendiri: berkah yang menggairahkan dari Walden membuat kita merasa bahwa persaingan itu setara dan adil. Walden telah terbukti sebagai salah satu wasiat agung dalam individualisme Amerika, yang meyakinkan kita akan dunia baru, penjaminan kembali atas tradisionalitas yang runtuh, dalam nilai, kekuatan, dan keindahan diri yang tak terkekang.
John Updike, penulis Amerika
Penolakan keras Thoreau terhadap konvensionalitas secara khusus dirancang untuk anak muda yang mendengar dentum genderang yang berbeda. Kalimat kalimat transendentalnya dengan kukuh mendorong orang orang untuk memahami kembali tatanan dunia yang menindas dengan cara membuat mereka membayangkan bahwa mereka berada di atas itu semua.
",,,,,,,,,89999,99,,,https://www.solusibuku.com/image/c/data/2021/EKSOKT21WALDEN-cr-500x500.JPG,https://www.solusibuku.com/image/c/data/2021/EKSOKT21WALDEN-cr-500x500.JPG,,,,,,,,450,13.0,20.0,4.2,,,,,0,,,,Basa Basi,,Bahasa Indonesia,,,,,,,
608,,Bromocorah,"
Bromocorah merupakan kumpulan cerita pendek yang mengasyikan akan tetapi juga dapat dibaca sebagai cermin kenyataan manusia dan masyarakat di Indonesia yang kurang terbuka atau sama sekali tidak terbuka, jika salah seorang anggota masyarakat yang telah dianggap mempunyai cacat, maka seakan seumur hidupnya harus terus-menerus dengan beban cacatnya itu.
Dalam cerita pendek Bromocorah ini merupakan pesan utamanya. Padahal hal yang demikian sebenarnya mengingkari kemampuan manusia untuk selalu memperbaiki dirinya. Seseorang yang telah berdosa, jika dia minta ampun dengan bersungguh-sungguh masih akan diampuni oleh tuhan. Hal ini jelas terungkap dalam cerita pendek Bromocorah, yang dipergunakan juga menjadi judul buku ini.
Ada dua belas cerita pendek yang dirangkum oleh Mochtar Lubis dalam buku ini, dan semuanya telah ditulis dengan kepekaan yang besar dan ketajaman pengamatan terhadap manusia dan masyarakat Indonesia.
",,,,,,,,,74999,99,,,https://www.solusibuku.com/image/c/data/2021/EKSOKT21BROMOCORAH-cr-500x500.JPG,https://www.solusibuku.com/image/c/data/2021/EKSOKT21BROMOCORAH-cr-500x500.JPG,,,,,,,,300,11.0,17.0,2.64,,,,,0,,,,Yayasan Pustaka Obor Indonesia,,Bahasa Indonesia,,,,,,,
609,,Tengah Hari di Yenisehir,"
Berpindah dari satu tokoh ke tokoh lainnya di masing-masing cerita, karya sastra Turki klasik modern pemenang penghargaan Orhan Kemal Award tahun 1974 ini menyatukan kehidupan yang tampaknya berbeda dalam plot yang cerdas dan seperti prisma. Dimulai dan diakhiri dengan runtuhnya pohon poplar di pusat Kota Ankara, percakapan para tokoh memperlihatkan kepada pembaca karakter-karakter dari berbagai lapisan masyarakat di Turki saat itu.
Dimulai dari kisah penjaga toko dan kekasihnya, mantan guru bertangan besi, pengusaha yang menyedihkan, pegawai bank, mahasiswa idealis, tukang sepatu gipsi, hingga pelacur anak dan penjaga apartemen yang tertekan oleh hidupnya, Sevgi Soysal membangun cerita perjuangan antara generasi tua yang puas dengan Turki pasca-Ottoman baru dan yang terusik oleh perubahan yang dicari dan dibawa oleh generasi muda yang memberontak dengan potret Turki di era 1960-an.
Para tokoh yang mewakili berbagai kelas bersentuhan sekilas dan memicu rantai cerita yang asyik untuk dibaca dengan bumbu romantisme dan politik yang terjalin dalam pertanyaan tentang apa arti kesetiaan — bagi saudara kandung, kekasih, negara, dan tujuan.
",,,,,,,,,99999,99,,,https://www.solusibuku.com/image/c/data/2021/EKSOKT21TENGAHHARI-cr-500x500.JPG,https://www.solusibuku.com/image/c/data/2021/EKSOKT21TENGAHHARI-cr-500x500.JPG,,,,,,,,400,14.0,21.0,3.5,,,,,0,,,,Yayasan Pustaka Obor Indonesia,,Bahasa Indonesia,,,,,,,
610,,Kami  Bukan  Fakir Asmara,"
Merupakan buku dari seri Bukan J.S. Kahiren yang bercerita tentang Ibu Lira yang disibukkan dengan ambisi dan mimipi-mimpi yang belum tercapai. Sementara pertanyaan-pertanyaan tentang pasangan datang bertubi-tubi dari keluarga dan teman-teman seumurannya.
",,,,,,,,,98999,99,,,https://www.solusibuku.com/image/c/data/2021/Sept21KamiBukanFakirAsmara-cr-500x500.JPG,https://www.solusibuku.com/image/c/data/2021/Sept21KamiBukanFakirAsmara-cr-500x500.JPG,,,,,,,,450,14.0,20.0,5.36,,,,,0,,,,Bukune,,Bahasa Indonesia,,,,,,,
611,,Cerita Kapal Kertas,"
Gue seneng banget ketemu lo dalam hidup yang berat ini, gua mau bilang makasih.
Makasih karena lo selalu ingetin gue bahwa, gue spesial, bahwa gue ga seburuk itu.
Makasih banyak ya. Makasih banyak udah mau ngertiin betapa keras kepalanya gue saat itu.
Walau sekarang udah beda tujuan, gue seneng banget ditemenin sama lo. 
",,,,,,,,,92999,99,,,https://www.solusibuku.com/image/c/data/2021/saab.002-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/2021/saab.002-cr-500x500.jpeg,,,,,,,,300,13.0,19.0,2.64,,,,,0,,,,Penerbit Mandiri,,Bahasa Indonesia,,,,,,,
612,,Hal Yang Tak Kau Bawa Pergi Saat Meninggalkanku,"
Ada dua puluh delapan cerita di buku ini. Bersiaplah, mungkin saat membacanya, kamu akan terbawa berbunga-bunga. Cerita tertentu bisa juga membawa tawa sekaligus kesedihan. Atau kemungkinan terbaiknya, membuatmu mengenang sesuatu yang tidak dia bawa pergi saat meninggalkanmu.
",,,,,,,,,109999,99,,,https://www.solusibuku.com/image/c/data/2021/HalyangTakKauBawaPergiSaatMeninggalkanku-cr-500x500.jpeg,https://www.solusibuku.com/image/c/data/2021/HalyangTakKauBawaPergiSaatMeninggalkanku-cr-500x500.jpeg,,,,,,,,300,14.0,20.0,2.5,,,,,0,,,,Penerbit Mandiri,,Bahasa Indonesia,,,,,,,
613,,Cinta Perempuan Yang Tidak Sempurna,"
Cinta yang menjadi judul buku ini sangat luas artinya. Lembaran-lembaran ini menggambarkan hubungan dan harapan dalam spektrum konteks yang sangat beragam—sebagian diantaranya menguras air mata, sebagian menyalakan semangat mencapai cita-cita. Menjaga diri, saling mengapresiasi, dan memelihara semesta—begitu banyak kewajiban perempuan sejak hari pertamanya di dunia, tapi menulis dan membaca seharusnya jadi menu harian yang tak terlewatkan di segala usia.
Semoga buku ini sampai kepada sebanyak mungkin Ratu atau Putri untuk mempertajam samurai mereka; para peneliti atau mufassir kitab suci untuk memperdalam dedikasi keilmuannya; ibu tiri, ibu yang mengadopsi, atau sedang menyusui untuk menguatkan keluarganya; pahlawan lingkungan atau pengusaha teknologi untuk menghadapi apa pun yang mengerdilkan masa depan kita.
",,,,,,,,,98999,99,,,https://www.solusibuku.com/image/c/data/2021/EKSOKTCintaPerempuanYgTdkSempurna-cr-500x500.JPG,https://www.solusibuku.com/image/c/data/2021/EKSOKTCintaPerempuanYgTdkSempurna-cr-500x500.JPG,,,,,,,,200,13.0,19.0,1.55,,,,,0,,,,Penerbit Mandiri,,Bahasa Indonesia,,,,,,,
614,,Nadine & Tuan Kucing,"
Nadine tidak percaya sihir, sulap, keajaiban atau apalah itu.
Namun, ketika kucing yang di temukan di teras dan di adopsinya itu berubah menjadi laki-laki tampan. Nadine kehilangan kata -kata untuk menjelaskannya.
Apa yang harus di percaya untuk dirinya, untuk kenyataan, dan untuk hatinyaa yang kini di penuhi cinta.
",,,,,,,,,98999,99,,,https://www.solusibuku.com/image/c/data/2021/EKSOKTNadineTuanKucing-cr-500x500.JPG,https://www.solusibuku.com/image/c/data/2021/EKSOKTNadineTuanKucing-cr-500x500.JPG,,,,,,,,300,14.0,20.0,3.0,,,,,0,,,,Bukune,,Bahasa Indonesia,,,,,,,
615,,Berguru Pada Kelana,"
Ada satu hal yang selalu diyakini oleh Prem, bahwa proses belajar itu tidak melulu harus dilakukan sambil duduk di dalam sebuah ruangan berbentuk persegi. Belajar bisa—dan seharusnya—dilakukan dengan pergi ke luar, melihat ke sekitar, menyerap pengalaman, menyimpan pengetahuan dan juga kesan.
Karena itu di tahun 2013, Prem bersama kedua sahabatnya—Fiersa dan Baduy—akhirnya memulai perjalanan mereka mengunjungi wilayah-wilayah di Indonesia. Bertemu kenalan baru yang menjadi sahabat, disambut keramahan yang hangat, berbagi cerita dan pengalaman, menyaksikan beragam tradisi dan keelokan negeri.
Dalam bentuk apa pun, perjalanan adalah hal yang tidak bisa dipisahkan dari kehidupan, yang juga akan
selalu meninggalkan pelajaran. Pilihannya, apakah kita akan mengambil makna dari perjalanan itu atau justru mengabaikannya?
",,,,,,,,,88999,99,,,https://www.solusibuku.com/image/c/data/2021/EKSOKTBerguruPadaKelana-cr-500x500.JPG,https://www.solusibuku.com/image/c/data/2021/EKSOKTBerguruPadaKelana-cr-500x500.JPG,,,,,,,,300,13.0,19.0,2.8000000000000003,,,,,0,,,,Media Kita,,Bahasa Indonesia,,,,,,,
