,nama,harga,deskripsi,detail,link gambar,link
10,Langsing Tanpa Pusing,"Rp.32,400 ","
          Buku ini akan membawa perubahan. Setelah Anda membaca buku ini, tiba-tiba metabolisme Anda berjalan lancar, dan terjadi perubahan gaya hidup menjadi lebih sehat. Penulis pastikan teknik pelangsingan ini tidak menggunakan obat-obatan atau suplemen tertentu, dan tidak melakukan diet yang menyiksa. Karena pikiran kita diciptakan luar biasa oleh Sang Pencipta untuk membuatnya tetap ideal dan sehat.         ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku novel\n gramedia\nnovel\n\n'}",https://www.solusibuku.com/image/c/data/produk/obral/Slide061-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/langsing-tanpa-pusing.html
11,Green Smoothies Kiat Sehat & Awet Muda,"Rp.29,000 ","
          Teksturnya! Smoothie bertekstur lembut dan kental, sedangkan juice bertekstur encer. Green smoothie adalah salah satu jenis smoothie yang sedang tren. Diracik dari sayuran segar dengan sentuhan buah-buahan pilihan. Ingin tahu lebih lengkap info green smoothie dan resep-resepnya? Temukan dalam buku ini. Buku ini menyajikan 50 rasa green smoothie yang bisa menjadi tiket Anda untuk sehat, awet muda, dan berpenampilan menarik!        ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku novel\n gramedia\nnovel\n\n'}",https://www.solusibuku.com/image/c/data/produk/obral/Slide062-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/green-smoothies-kiat-sehat-awet-muda.html
12,365 Tip For Women,"Rp.49,900 ","
          Semua wanita pasti ingin cantik, segar, sehat, dan menawan, apalagi kalau berurusan dengan wajah. Mereka rela mengeluarkan biaya yang tidak sedikit untuk urusan ini. Tidak heran kalau kemudian produk-produk kecantikan begitu menjamur dan selalu laku. Demi menyandang predikat “cantik”, mereka rela melakukan apa saja. Bahkan terkadang demi urusan mempercantik wajah ini, mereka tidak mempertimbangkan masalah kesehatan dan efek samping yang ditimbulkan dalam jangka panjang. Yang penting mereka bisa tampil cantik secara instan, cepat, tanpa perlu repot, meskipun harus membayar mahal.          ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku novel\n gramedia\nnovel\n\n'}",https://www.solusibuku.com/image/c/data/produk/obral/Slide063-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/365-tip-for-women.html
13,Tempe  Kumpulan Fakta Menarik Berdasarkan Penelitian,"Rp.59,000 ","
          Tahun 2015 dapat dianggap sebagai tahun tempe yang mengawali pergerakan tempe (tempe movement) di Indonesia. Sejak tahun tersebut, pergerakan tempe terasa mulai merangkak setapak demi setapak. Para ilmuwan, baik di Indonesia maupun skala internasional, mulai menyadari peranan tempe untuk pemenuhan kebutuhan gizi masyarakat.         ","{'Kategori': 'Kesehatan', 'Penyunting': 'Tim Penyusun', 'Ketebalan': ' ', 'Dimensi': '16 x 19 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Berat': '500 gram', 'Product Tags': ' \n buku novel\n gramedia\nnovel\n\n'}",https://www.solusibuku.com/image/c/data/produk/obral/Slide064-cr-500x500.jpeg,https://www.solusibuku.com/kesehatan/tempe-kumpulan-fakta-menarik-berdasarkan-penelitian.html
14,TETAP SEHAT DAN BUGAR DI USIA 40 TAHUN,"Rp.47,600 ","
          Buku “Tetap Sehat dan Bugar di Usia 40 Tahun” ini merupakan sebuah buku yang sangat keren karena berisikan berbagai macam info menarik mengenai cara menjaga kesehatan sampai di usia lanjut. Dalam buku ini membahas bagaimana cara menjaga organ tubuh, seberapa pentingnya air putih bagi kesehatan manusia, apa sajakah efek dari diabetes, bagaimana memelihara daya ingat di usia lanjut dan masih banyak lagi.        ","{'Kategori': 'Kesehatan', 'Ketebalan': '256 Halaman', 'Dimensi': '17 x 18.5 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Any Hidayati', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide318-cr-500x500.JPG,https://www.solusibuku.com/kesehatan/tetap-sehat-dan-bugar-di-usia-40-tahun.html
15,MITOS & FAKTA SEPUTAR KEHAMILAN PERSALINAN & MENYUSUI,"Rp.47,600 ","
          Benarkah jika ibu hamil cepat lapar, bayinya laki-laki? Apakah benar jika ibu hamil suka makanan asam bayinya laki-laki dan jika suka manis bayinya perempuan? Apakah membatasi makanan bergaram dapat cegah pre-eklamsia? Benarkah selera makan ibu hamil bisa menular ke bayi? Apakah ibu hamil sering buang air kecil? Benarkah jika ngidam tidak dituruti, anak ngiler? Benarkah jika minum es krim ukuran bayi menyusut? Benarkah jika perut turun menandakan bayi segara lahir? Benarkah makan anggur menyebabkan keguguran? Dan berbagai mitos dan fakta lainnya akan Anda temui dalam buku ini.        ","{'Kategori': 'Kesehatan', 'Ketebalan': '280 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Essie Laksana', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide319-cr-500x500.JPG,https://www.solusibuku.com/kesehatan/mitos-dan-fakta-seputar-kehamilan-persalinan-dan-menyusui.html
16,JUS FOR YOU,"Rp.51,600 ","
          Bagi seseorang yang memiliki berat badan lebih tentu menjadi masalah besar karena ia lebih cenderung terjangkit berbagai penyakit. Buku ini menyajikan beberapa tip dalam menjaga kesehatan tubuh. Buku ini nantinya bisa menjadi pedoman bagi siapa saja yang ingin menerapkan hidup sehat dengan mengkonsumsi buah-buahan atau pun jus buah        ","{'Kategori': 'Kesehatan', 'Ketebalan': '212 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Desyana Rostika P ', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide320-cr-500x500.JPG,https://www.solusibuku.com/kesehatan/jus-for-you.html
17,DIET GM GUIDE,"Rp.29,200 ","
          DIET GM MERUPAKAN DIET YANG DIGUNAKAN PERUSAHAAN GENERAL MOTORS. KONON, DIET INI BERHASIL DITERAPKAN PADA KARYAWANNYA DAN DAPAT MENURUNKAN BERAT BADAN 5-8 KG DALAM WAKTU SEMINGGU. PROGRAM DIET INI BERHASIL MENAIKKAN DERAJAT KESEHATAN DAN KEBUGARAN MANAJEMEN GENERAL MOTORS, SEKALIGUS MENAIKKAN DAYA SAING PRODUK GENERAL MOTORS. DALAM BUKU INI AKAN DIJELASKAN TENTANG BAGAIMANA MELAKUKAN DIET GM YANG TEPAT DILENGKAPI DENGAN RESEP-RESEP DAN TIP MELAKUKAN DIET GM. BAGI PEMBACA YANG MENGINGINKAN DIET SEHAT DENGAN HASIL YANG CEPAT, TIDAK ADA SALAHNYA MENCOBA JENIS DIET INI. BUKU INI BISA DIJADIKAN SALAH STAU REFERENSI MENARIK YANG MEMUAT SELUK-BELUK DIET GM UNTUK PEMBACA YANG INGIN BERHASIL DALAM PROGRAM DIETNYA

1.    SEBUAH PANDUAN RINGKAS YANG MEMUAT KONTEN LENGKAP MENGENAI CARA MELAKUKAN DIET GM DENGAN SUKSES.
2.    BUKU INI DITULIS OLEH SEORANG ALUMNI MAHASISWA JURUSAN TEKNOLOGI PANGAN, SEHINGGA MEMAHAMI BENAR SELUK-BELUK MAKANAN SEHAT DALAM PROSES DIET GM INI.
3.    PENAMPILAN BUKU INI TERBILANG MENARIK DENGAN GAMBAR COVER BUAH DAN SAYUR SEGAR YANG MENARIK, SERTA TAMPILAN HALAMAN ISI YANG BERWARNA-WARNI.
4.    KONTEN BUKU INI BERISI TIDAK HANYA TIPS DAN PROSEDUR MELAKUKAN DIET GM, TETAPI JUGA BERISI TENTANG CARA MENEMUKAN MOTIVASI ANALISIS HABIT YANG BERPENGARUH DALAM DIET DAN KESEHATAN.        ","{'Kategori': 'Kesehatan', 'Ketebalan': '120 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Andra Tersiana, S.TP, M.Sc ', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide321-cr-500x500.JPG,https://www.solusibuku.com/kesehatan/diet-gm-guide.html
18,KONSEP DASAR KEPERAWATAN,"Rp.31,600 ","
          Buku ini berisi tentang Konsep Dasar Keperawatan, dimana sebagai perawat kita harus memahami konsep yang mendasari profesi kita. Buku ini dilengkapi dengan soal pretest dan post test, yang berfungsi untuk mengukur pengetahuan awal kita sebelum membaca isi dari buku ini, dan mengukur pengetahuan akhir kita setelah membaca buku ini, dengan begitu kita akan tahu apakah pengetahuan kita akan bertambah atau tidak. Konsep Dasar Keperawatan akan membuat kita bisa melihat dunia dan hubungan manusia secara unik.        ","{'Kategori': 'Kesehatan', 'Ketebalan': '168 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Diva Viya Febriana, S.Kep. ', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide322-cr-500x500.JPG,https://www.solusibuku.com/kesehatan/konsep-dasar-keperawatan.html
19,INTERMITTEN FASTING,"Rp.24,400 ","
          Diet puasa merupakan salah satu cara untuk menurunkan berat badan dengan puasa berkala. Puasa disini berarti tidak mengonsumsi makanan dan minuman yang berkalori. Sehingga tetap diperbolehkan untuk minum air putih selama berpuasa. Diet puasa lebih menekankan pada jam makan. Dalam buku ini akan dijelaskan bagaimana melakukan diet puasa secara tepat. Dilengkapi dengan resep masakan untuk diet puasa selama 7 hari.        ","{'Kategori': 'Kesehatan', 'Ketebalan': '124 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Ninggar Diastiti, Amd, Gz ', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide323-cr-500x500.JPG,https://www.solusibuku.com/kesehatan/intermitten-fasting.html
20,PENGANTAR ILMU KEBIDANAN,"Rp.46,800 ","
          Setiap orang sebenarnya memiliki kemampuan berbenah di dalam dirinya. Kemampuan berbenah setiap orang merupakan sebuah bakat yang perlu diasah sebetulnya. Jarang sekali, bahkan belum pernah saya menemui lembaga kursus untuk mengajarkan cara-cara berbenah. Sama halnya dengan di sekolah, tidak ada mata pelajaran khusus yang mengajarkan murid-muridnya cara berbenah dengan baik dan benar, sekalipun itu di mata pelajaran PKK yang sebenarnya bisa disisipkan cara berbenah yang benar. Namun dalam kenyataannya, kebanyakan materi di pelajaran PKK itu hanya membahas tata boga, tata busana, dan table manner. Nah, pada pelajaran formal pun belajar berbenah tidak diajarkan, hal ini yang kemudian dianggap remeh. “Hanya berbenah” tapi menjadi hal yang rumit jika kita tidak mengetahui cara yang tepat dan benar        ","{'Kategori': 'Kesehatan', 'Ketebalan': '352 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Ardhina Nugraheni', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide324-cr-500x500.JPG,https://www.solusibuku.com/kesehatan/pengantar-ilmu-kebidanan.html
21,DIAMDIAM MEMATIKAN CEGAH ASAM URAT DAN HIPERTENSI,"Rp.55,600 ","
          Asam urat dan hipertensi? Apa itu? Secara umum orang awam mengenal asam urat sebagai jenis penyakit yang menyebabkan sendi nyeri, ngilu, bengkak dan meradang sedangkan hipertensi atau tekanan darah tinggi adalah salah satu gangguan kesehatan utama di setiap negara karena bisa menimbulkan penyakit jantung dan stroke otak yang mematikan. Dalam kondisi normal asam urat tidak akan berbahaya bagi kesehatan manusia. Namun kalau kelebihan (hiperurisemia) atau kekurangan (hipourisemia) kadar asam urat dalam plasma darah akan menjadi indikasi adanya penyakit pada tubuh manusia.        ","{'Kategori': 'Kesehatan', 'Ketebalan': '336 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Dina Savitri, S.ST ', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide325-cr-500x500.JPG,https://www.solusibuku.com/kesehatan/diamdiam-mematikan-cegah-asam-urat-dan-hipertensi.html
22,KEAJAIBAN TERAPI AIR PUTIH,"Rp.35,600 ","
          Air putih adalah minuman yang sering kita konsumsi sehari-hari yang biasanya bertujuan untuk pelepas dahaga saja. Akan tetapi tidak cuma itu kegunaan atau manfaat dari air putih, melainkan air putih tersebut dapat digunakan untuk terapi dengan berbagai macam manfaat didalamnya, yaitu antara lain adalah memperkuat system imun tubuh, menjaga keseimbangan cairan di dalam tubuh, menjaga keseimbangan elektrolit, meremajakan otot dan sel-sel darah, menyeimbangkan system limpa, membersihkan usus, dan masih banyak lagi berbagai puluhan macam dari manfaat air putih untuk terapi bagi kesehatan tubuh manusia        ","{'Kategori': 'Kesehatan', 'Ketebalan': '220 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Karina Nurin R & Anzhir Adhi S Amd.Kep ', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide326-cr-500x500.JPG,https://www.solusibuku.com/kesehatan/keajaiban-terapi-air-putih.html
23,DIET KETO BERANI MENCOBA TANTANGAN DIET RENDAH KARBOHIDRAT,"Rp.43,600 ","
          Gaya hidup memberikan pengaruh besar pada kesehatan tubuh manusia. Termasuk di dalamnya adalah kebiasaan makan yang seringkali dianggap sebagai masalah sepele. Kebiasaan makan yang tanpa dikendalikan dan hanya menuruti nafsu memberikan kontribusi besar bagi memburuknya kesehatan. Pilihan makanan yang dikonsumsi juga turut menjadi faktor pendorong bagi memburuknya kondisi kesehatan tubuh manusia. 
Buku ini memberikan solusi bagi mereka yang ingin memperbaiki pola makan demi mendapatkan kesehatan tubuh yang lebih baik lewat diet ketogenik. Diet ketogenik merupakan salah satu pola makan yang saat ini populer diterapkan untuk membantu menurunkan berat badan. Namun lebih dari itu diet ketogenik menjadi metode yang juga turu membantu memelihara kesehatan tubuh lewat pengaturan makanan yang dikonsumsi        ","{'Kategori': 'Kesehatan', 'Ketebalan': '216 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Adelina Mayang', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide327-cr-500x500.JPG,https://www.solusibuku.com/kesehatan/diet-keto-berani-mencoba-tantangan-diet-rendah-karbohidrat.html
24,STROKE’S HOME CARE,"Rp.35,600 ","
          Bruk!!!! Tiba-tiba salah satu anggota keluarga atau anda sendiri jatuh, tiba-tiba sulit berbicara, tiba-tiba sebagian anggota tubuh lumpuh. Ya, itu semua terjadi secara tiba-tiba dan berlangsung cepat sehingga kita sepelekan. Setelah terjadi lebih parah dan dibawa ke rumah sakit, ternyata stroke lah penyebabnya.        ","{'Kategori': 'Kesehatan', 'Ketebalan': '132 Halaman', 'Dimensi': '14 x 20 cm', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Anak Hebat Indonesia', 'Penulis': 'Dwi Rahayu Purwani ', 'Berat': '300 gram', 'Product Tags': ' \nanak hebat indonesia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2020/eksternal/anakhebat/Slide328-cr-500x500.JPG,https://www.solusibuku.com/kesehatan/stroke-s-home-care.html
