,nama,harga,deskripsi,detail,link gambar,link
10,Tangan Ayana,"Rp.48,000 ","
          Ayana Wiryawan, gadis yang memiliki kelebihan bisa mengetahui kronologi tindakan kejadian yang terjadi di masa lampau. Kekuatan supranatural itu ia dapat ketika tangannya yang berubah. Ia shock dengan kekuatan baru itu. Pada akhirnya, ia bergabung dengan tim kepolisian bagian forensik. Ia satu tim dengan Evan Baswara, seorang polisi keras kepala tapi rapuh jiwa. Sebagai seorang polisi, tentu Evan sangat mengandalkan bukti-bukti sebagai data akurat yang ditemukan di tempat kejadian perkara. Sedangkan Ayana, melalui sentuhan tangannya memberikan data tambahan yang tentu menambah keakuratan data Evan. Mereka berdua mempertaruhkan nyawanya demi mengungkap pembunuh di balik kasus pelik ini di mana semua korban adalah para gadis bertubuh gemuk.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '268 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Scritto Books', 'Penulis': 'Lindsay Lov & Aulia Sarah', 'Berat': '400 gram', 'Product Tags': ' \nbuku hobi\nhobi\nlindsay lov & aulia sarah\nscritto books\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide263-cr-500x500.jpeg,https://www.solusibuku.com/hobi/tangan-ayana.html
11,Exo We Are One,"Rp.98,400 ","
          Buku ini berisi biografi sebuah grup K-pop bernama EXO, We Are One, menjelaskan perjalanan dari sebelum debut hingga akhirnya menjadi figur berpengaruh di era ini.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '286 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Cempaka Putri', 'Berat': '200 gram', 'Product Tags': ' \naria media mandiri\nbuku hobi\ncempaka putri\nhobi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide302-cr-500x500.jpeg,https://www.solusibuku.com/hobi/exo-we-are-one.html
12,32 Aneka Kreasi Boneka Jari,"Rp.64,000 ","
          Bermain dan bercerita menggunakan media boneka memang mengasyikkan. Kamu dapat bercerita sesukamu sesuai karakter boneka yang dipilih. Apalagi kalau kamu membuat karakter bonekamu sendiri, pasti akan lebih seru. Kamu dapat menuangkan ide kreativitas dan imajinasimu untuk membuat boneka yang disenangi. Bagaimana cara membuatnya? Buku ini adalah pilihan yang tepat bagi kamu yang ingin berkreasi dengan boneka, khususnya boneka jari. Boneka jari adalah boneka yang dapat dimainkan menggunakan jari-jari tanganmu. Di dalam buku ini banyak contoh karakter boneka jari yang dapat kamu praktikkan sendiri maupun bersama teman-teman. Selain dapat mengasah keterampilanmu, membuat boneka sendiri juga lebih hemat. Selamat Berkreasi dengan boneka jari!        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '166 halaman', 'Dimensi': '17x24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Trans Idea Publishing', 'Penulis': 'Kak Derosya', 'Berat': '350 gram', 'Product Tags': ' \nbuku hobi\nhobi\nkak derosya\ntrans idea publishing\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide414-cr-500x500.jpeg,https://www.solusibuku.com/hobi/32-aneka-kreasi-boneka-jari.html
13,Top Hits 90An Koleksi LaguLagu Terbaik Tahun 90An,"Rp.55,200 ","
          Buku ini berisi koleksi terbaik lagu-lagu hits tahun 90-an yang di dalamnya disertai not balok, not angka, dan chord. Buku ini dapat dijadikan panduan untuk bermain musik dengan menggunakan alat musik piano, keyboard, gitar, vokal, dan instrumen musik lain.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '140 halaman', 'Dimensi': '20.5x28.1 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Amazing Music', 'Berat': '350 gram', 'Product Tags': ' \namazing music\nbuku hobi\nc-klik media\nhobi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide420-cr-500x500.jpeg,https://www.solusibuku.com/hobi/top-hits-90-an-koleksi-lagu-lagu-terbaik-tahun-90-an.html
14,Piano Songs 9 For Beginners,"Rp.60,000 ","
          Berisi lagu-lagu populer yang disajikan dengan aransemen piano. Terdapat bonus download MP3 latihan.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '100 halaman', 'Dimensi': '20.5x29.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Amazing Books', 'Penulis': 'Amazing Music', 'Berat': '350 gram', 'Product Tags': ' \namazing books\namazing music\nbuku hobi\nhobi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide426-cr-500x500.jpeg,https://www.solusibuku.com/hobi/piano-songs-9-for-beginners.html
15,Kompilasi Lagu Hits Pilihan Tangga Lagu Populer Terbaik,"Rp.46,400 ","
          Buku ini menyajikan lagu yang sedang hits diantaranya : Meraih Bintang (Via vallen), Lagi Syantik (Siti badriah), Deen Assalam ( Nisa sabyan), Menunggu Kamu (Anji), Teduhnya Wanita (Raisya), Film Favorit (Sheila On 7), Tukar Jiwa (Tulus), Tak sejalan (Afgan) dll. Dilengkapi dengan Not Angka dan Not balok, Sehingga sangat mudah untuk latihan Gitar, Keyboard, Piano, Vokal dan alat musik lainya.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '82 halaman', 'Dimensi': '21x29 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Yanita', 'Penulis': 'Kiki Laisa', 'Berat': '300 gram', 'Product Tags': ' \nbuku hobi\nhobi\nkiki laisa\nyanita\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide517-cr-500x500.jpeg,https://www.solusibuku.com/hobi/kompilasi-lagu-hits-pilihan-tangga-lagu-populer-terbaik.html
16,Cara Cepat & Mudah Baca Not Balok,"Rp.39,200 ","
          Banyak yang beranggapan bahwa membaca not balok itu susah. Padahal, sebenarnya sangat cepat dan mudah, asalkan tahu caranya. Bahkan sebenarnya membaca not balok bisa dipelajari secara otodidak. Buku ini akan membantu Anda untuk mempelajari not balok dengan asyik dan menyenangkan.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '98 halaman', 'Dimensi': '19x26 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Hendri C. Wibowo', 'Berat': '300 gram', 'Product Tags': ' \nbuku hobi\nc-klik media\nhendri c wibowo\nhobi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide559-cr-500x500.jpeg,https://www.solusibuku.com/hobi/cara-cepat-mudah-baca-not-balok.html
17,Best Of The Best Sweet Memories,"Rp.52,800 ","
          Buku ini menyajikan lagu best of the best kenangan indonesia yang paling hits, diantaranya : Aku begini engkau begitu, Bintang kehidupan, Kucari jalan terbaik, mengapa tiada maaf, Selendang merah, Setangkai anggrek bulan, Titip rindu buat ayah. Selain itu, buku ini juga dilengkapi dengan Not Angka dan Not balok, Sehingga sangat mudah untuk latihan Gitar, Keyboard, Piano, Vokal dan alat musik lainya.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '109 halaman', 'Dimensi': '21x29 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Yanita', 'Penulis': 'Dian Ayu', 'Berat': '300 gram', 'Product Tags': ' \nbuku hobi\ndian ayu\nhobi\nyanita\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide599-cr-500x500.jpeg,https://www.solusibuku.com/hobi/best-of-the-best-sweet-memories.html
18,Blackpink A Journal To Be An Idol,"Rp.79,200 ","
          Hai, Blink!! Satu lagi buku yang bisa dikepoin terkait Blackpink, nih! Buku ini menceritakan perjalanan para anggota Blackpink dan berbagai dakta unik tentang mereka.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '145 halaman', 'Dimensi': '24x17 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Choi Dahee', 'Berat': '400 gram', 'Product Tags': ' \nbuku hobi\nc-klik media\nchoi dahee\nhobi\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide05-cr-500x500.jpeg,https://www.solusibuku.com/hobi/blackpink-a-journal-to-be-an-idol.html
19,LucuLucu Bts Sejumlah Kisah Unik Gokil Dan Konyol,"Rp.47,200 ","
          Buku ini menyajikan kisah-kisah unik BTS mulai sebelum debut, debut hingga perjuangan mereka mencapai puncak ketenaran sekarang ini. Dengan menyajikan kisah-kisah lucu, bahkan konyol, mereka maka akan menghadirkan tawa bagi pembaca dan sekaligus menjadi perenungan atas perjuangan BTS mencapai kesuksesan.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '304 halaman', 'Dimensi': '19.5x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Rere', 'Berat': '400 gram', 'Product Tags': ' \naraska publisher\nbuku hobi\nhobi\nrere\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide06-cr-500x500.jpeg,https://www.solusibuku.com/hobi/lucu-lucu-bts-sejumlah-kisah-unik-gokil-dan-konyol.html
