,nama,harga,deskripsi,detail,link gambar,link
10,Tersesat Yang Nikmat   Kisah Mereka Yang Salah Jurusan,"Rp.47,200 ","
          Tersesat alias salah jurusan, gegar budaya, tak betah karena kondisi kampus dan fasilitas yang ada tak sesuai bayangan awal adalah beberapa hal yang kerap menyergap saat menjadi mehasiswa baru di sebuah perguruan tinggi. Itu semua tentu menimbulkan kekecawaan. Bahkan, tak jarang bercampur kekecawaan. Nah, buku ini berisi antologi tulisan dari alumni Faklutas Ilmu Komunikasi (Fikom) Unpad angkatan 1997 yang merasa Tersesat namun Nikmat merasa salah memilih jurusan. Dari 48 tulisan alumni yang menulis buku ini terdapat nama-nama beken seperti; Soleh Solihun, Ricky Yudhistira, Agasyah Karim,Roby Nugraha, Supri Haryanto dan lain-lainnya. Mereka menulis segala pengalaman kuliah di FIKOM UNPAD pada masa lalu mereka. Kisah-kisah ini bukan sekadar nostalgia, melainkan pelajaran bagi siapaun untuk tak terlalu mudah balik kanan (mundur) ketika menghadapi kekecewaan.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '209 halaman', 'Dimensi': '13.1x20 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Shira Media', 'Penulis': ""Soleh Solihun & Alumni Fikom Unpad '97"", 'Berat': '500 gram', 'Product Tags': ' \nbuku pengembangan diri\npengembangan diri\nshira media\nsoleh solihun & alumni fikom unp\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide573-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/tersesat-yang-nikmat-kisah-mereka-yang-salah-jurusan.html
11,Kalo Sensi Jangan Baca Buku Ini,"Rp.55,200 ","
          Buku ini dipersiapkan untuk membuat anda tersenyum dan kemudian berpikir. Demikianlah sebuah sindiran. Jika tidak bisa menyikapi dengan baik dan bijak, maka kemarahan akan muncul dri dalam hati. Namun, jika dapat menyikapi dengan bijak, maka sindiran yang mungkin didengar setiap hari memiliki makna yang dalam dan remeh untuk diperhatikan dan direnungi.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '315 halaman', 'Dimensi': '14.1x23 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Shira Media', 'Penulis': 'Cahyo Satria Wijaya', 'Berat': '800 gram', 'Product Tags': ' \nbuku pengembangan diri\ncahyo satria wijaya\npengembangan diri\nshira media\n\n'}",https://www.solusibuku.com/image/c/data/produk/2017/Slide574-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/kalo-sensi-jangan-baca-buku-ini.html
12,Jatuh Bangun Mark Zuckerberg,"Rp.44,800 ","
          Berisi ulasan tentang kisah perjalanan hidup Mark Zuckerberg, mulai dari masa kecil yang sederhana hingga dewasa dan akhirnya menjadi salah satu pengusaha yang sangat disegani di dunia. Tidak hanya menceritakan kisah suksesnya, tapi juga jatuh-bangunnya dalam menaklukkan segala tantangan yang ada di hidupnya, termasuk saat mulai mendirikan Facebook.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '206 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Irma El-Mira', 'Berat': '500 gram', 'Product Tags': ' \nbuku pengembangan diri\nchecklist\nirma el mira\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide055-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/jatuh-bangun-mark-zuckerberg.html
13,Menjadi Pribadi Tangguh Dan Pemberani,"Rp.31,200 ","
Bukan karena hal itu termasuk pada ranah 'psikologi dalam', namun lebih karena fobia itu merupakan tanggapan terkondisi terhadap pengalaman seseorang yang sifatnya traumatis dan irasional, sehingga merupakan ketakutan yang snagat tidak masuk akal. Ketakutan yang dipaparkan di sini adalah ketakutan yang “biasa” aja yang mendorong individu untuk menjauhi sesuatu dan sedapat mungkin menghindar dari berhubungan dengan sesuatu itu, misalnya takut akan kegagalan, takut akan kehilangan sesuatu, takut akan rasa tidak percaya diri, dan sebagainya.
","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '155 halaman', 'Dimensi': '14x20 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Wahyu Madya Gunawan', 'Berat': '500 gram', 'Product Tags': ' \nbuku pengembangan diri\nc-klik media\npengembangan diri\nwahyu madya gunawan\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide060-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/menjadi-pribadi-tangguh-dan-pemberani.html
14,Banjir Order Dengan Seni Melayani,"Rp.35,200 ","
          Buku ini hadir sebagai panduan untuk memenangkan persaingan bisnis dan peningkatan pribadi Anda dalam pelayanan. Dalam buku ini terdapat trik-trik dan ide inovatif yang bernilai ratusan juta di antaranya:        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '168 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Real Books', 'Penulis': 'Heri Suchaeri', 'Berat': '500 gram', 'Product Tags': ' \nbuku pengembangan diri\nheri suchaeri\npengembangan diri\nreal books\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide063-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/banjir-order-dengan-seni-melayani.html
15,Minimalisme  Seni Untuk Menyederhanakan Hidup,"Rp.32,000 ","
          Gaya hidup minimalis telah menjadi sebuah gaya hidup yang baru-baru ini menjadi tren di masyarakat menengah ke atas yang mulai bosan dengan gaya hidup mereka. Buku ini akan menjabarkan sebuah pengalaman yang akan membuat Anda menyadari bahwa ternyata hidup ini tidak seribet yang kita bayangkan. Tak hanya pengalaman, tetapi juga tips dan trik dari tokoh-tokoh penggerak gaya hidup minimalis. Buku ini merupakan sebuah acuan yang tepat jika Anda akan menjalani hidup yang bebas dan tanpa beban. Dengan hidup minimalis Anda akan lebih merasakan nikmatnya hidup.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '172 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Trans Idea Publishing', 'Penulis': 'Diptra', 'Berat': '500 gram', 'Product Tags': ' \nbuku pengembangan diri\ndiptra\npengembangan diri\ntrans idea publishing\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide133-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/minimalisme-seni-untuk-menyederhanakan-hidup.html
16,Kekuatan Dahsyat Seni Bicara Untuk Menaklukkan Orang Lain,"Rp.36,400 ","
          Buku ini menyajikan teknik-teknik untuk mempelajari seni bicara yang memiliki kekuatan dahsyat. Dengan keterampilan seni bicara, seseorang memiliki nilai lebih jika diperbandingkan dengan orang lain. Sebab orang yang pandai berbicara memiliki kekuatan dahsyat yang tidak dimiliki orang lain. Kekuatan dahsyat ini juga akan membawa seseorang dalam meraih kesuksesan di segala bidang, juga kekayaan dan kebahagiaan.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '192 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Been Rafanani', 'Berat': '500 gram', 'Product Tags': ' \naraska publisher\nbeen rafanani\nbuku pengembangan diri\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide146-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/kekuatan-dahsyat-seni-bicara-untuk-menaklukkan-orang-lain.html
17,Senang & Bahagia Menjadi Guru Paud,"Rp.35,600 ","
          Buku ini menyajikan panduan untuk menjadi guru bagi anak usia dini. Selain itu, buku ini juga memberikan motivasi bagi orang yang berkonsentrasi pada pendidikan anak usia dini, baik guru maupun orangtua, agar terus belajar dan memperteguh tekad untuk terus berjuang menyiapkan generasi cemerlang bagi bangsa ini.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '196 halaman', 'Dimensi': '20.5x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Deni Damayanti, S.Pd', 'Berat': '500 gram', 'Product Tags': ' \naraska publisher\nbuku pengembangan diri\ndeni damayanti spd\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide156-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/senang-bahagia-menjadi-guru-paud.html
18,Kreatif Adalah Koentji  Panduan Hidup Asyil Ala Manusia Kekinian,"Rp.36,000 ","
          Maya adalah seorang guru. Ia mengajar mata pelajaran Bahasa Indonesia di sebuah sekolah menengah atas. Sebagai guru yang mengajar siswa usia remaja, Maya selalu mengikuti perkembangan yang terjadi di dunia remaja. Ia mengetahui hal-hal yang tengah menjadi tren di kalangan remaja. Pengetahuan tersebut Maya manfaatkan untuk mendukung tugasnya mengajar.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '164 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Trans Idea Publishing', 'Penulis': 'Keen Achroni', 'Berat': '500 gram', 'Product Tags': ' \nbuku pengembangan diri\nkeen achroni\npengembangan diri\ntrans idea publishing\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide157-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/kreatif-adalah-koentji-panduan-hidup-asyil-ala-manusia-kekinian.html
19,Buku Ajar Pendidikan Anak Usia Dini  Paud ,"Rp.70,560 ","
Berisi tentang pengenalan diri, lingkungan, kebutuhan, dunia binatang, dunia tumbuhan, alat transportasi, profesi, alam semesta, kebangsaan, dan rekreasi yang dikemas menarik untuk anak-anak usia PAUD
","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '156 halaman', 'Dimensi': '28x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Brilliant Books', 'Penulis': 'Kak Kiki', 'Berat': '500 gram', 'Product Tags': ' \nbrilliant books\nbuku pengembangan diri\nkak kiki\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide159-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/buku-ajar-pendidikan-anak-usia-dini-paud.html
20,Survive Anti Selip   Ngehits Tanpa Salah Gaul,"Rp.32,000 ","
          Menjadi remaja yang kece tak cukup hanya bermodal tampang dan penampilan yang keren tetapi juga perlu diimbangi dengan kualitas diri yang mumpuni agar bisa survive menghadapi masa remaja. Ada bermacam-macam jurus untuk membuat masa remaja tak berlalu dengan sia-sia. Buku ini akan menuntun para remaja agar bisa menentukan pilihan dalam bersikap dan mengikuti tren dengan risiko yang minimal.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '160 halaman', 'Dimensi': '13x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Trans Idea Publishing', 'Penulis': 'Dwinov Rahagi', 'Berat': '200 gram', 'Product Tags': ' \nbuku pengembangan diri\ndwinov rahagi\npengembangan diri\ntrans idea publishing\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide235-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/survive-anti-selip-ngehits-tanpa-salah-gaul.html
21,Seni Mencuri Hati Dan Menaklukkan Orang Lain Dengan Bahasa Tubuh,"Rp.34,000 ","
Buku yang ini mengajarkan bagaimana seharusnya mengontrol bahasa tubuh. Buku yang disusun dengan bahasa yang santai namun tetap fokus ini menjabarkan bagaimana berbahasa tubuh agar dapat mencuri hati dan menaklukkan orang lain. Dengan kemampuan berbahasa tubuh untuk mencuri hati dan menaklukkan orang lain, kehidupan yang dijalani pembaca menjadi lebih mudah sehingga pembaca lebih cepat menggapai kesuksesan dan meraih kebahagian.
","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '184 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Adrian Harimurti', 'Berat': '200 gram', 'Product Tags': ' \nadrian harimurti\naraska publisher\nbuku pengembangan diri\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide251-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/seni-mencuri-hati-dan-menaklukkan-orang-lain-dengan-bahasa-tubuh.html
22,There'S No Second Chance  Jadi Pemain Atau Penonton ,"Rp.44,000 ","
          Buku ini berisikan motivasi untuk orang-orang yang merasa berada dalam lingkup zona nyaman. Dalam buku ini membahas mengenai bagaimana kita menyikapi zona nyaman yang mungkin akan melenakan diri kita dan membuat kita tidak berkembang. Dalam buku ini juga menyampaikan bahwa kita tidak perlu takut untuk memulai hal baru yang kita yakini kita mampu melakukannya.        ","{'Kategori': 'Pengembangan Diri', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '275 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Charissa Publisher', 'Penulis': 'Astrid Savitri', 'Berat': '200 gram', 'Product Tags': ' \nastrid savitri\nbuku pengembangan diri\ncharissa publisher\npengembangan diri\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide259-cr-500x500.jpeg,https://www.solusibuku.com/pengembangan-diri/theres-no-second-chance-jadi-pemain-atau-penonton.html
