,nama,harga,deskripsi,detail,link
10,Kisah Perjuangan & Inspirasi Chairul Tanjung,"Rp.43,200 ","
Berisi kisah dan perjalanan hidup Chairul Tanjung sejak ia masih kecil dan bukan siapa-siapa, hingga akhirnya dewasa dan menjadi salah satu orang terkaya di Indonesia. Perjalanannya tidak mulus begitu saja, melainkan mengalami jatuh bangun yang benar-benar menguji mental. Chairul Tanjung berhasil melalui hambatannya dan akhirnya berhasil meraih kesuksesan yang luar biasa.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '204 halaman', 'Dimensi': '14x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Punto Ali Fahmi', 'Berat': '400 gram', 'Product Tags': ' \nbuku pengetahuan sosial\nchecklist\npengetahuan sosial\npunto ali fahmi\n\n'}",https://www.solusibuku.com/biografi/kisah-perjuangan-inspirasi-chairul-tanjung.html
11,Mohamed Salah  You'Ll Never Got Him,"Rp.68,000 ","
          Salah telah melahirkan tepuk tangan meriah dan trofi untuk dirinya. Bahkan ia membantu Mesir lolos ke Piala Dunia 2018 untuk pertama kalinya sejak 1990. Di luar itu semua, Salah juga punya banyak jasa di luar lapangan sepak bola. Ia adalah sosok yang saleh, pemurah, dan sopan. Tak heran jika ia dijuluki ""Messi dari Mesir"", ""The Pharaoh"", ataupun ""Egyptian King"".        ","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '204 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Second Hope', 'Penulis': 'Dadi Purnama Eksan', 'Berat': '250 gram', 'Product Tags': ' \nbiografi\nbuku biografi\ndadi purnama eksan\nsecond hope\n\n'}",https://www.solusibuku.com/biografi/mohamed-salah-youll-never-got-him.html
12,Kisah Perjuangan & Inspirasi Susi Pudjiastuti,"Rp.52,800 ","
Buku ini berisi kisah dan perjalanan hidup Susi Pudjiastuti sejak ia masih kecil dan bukan siapa-siapa, hingga akhirnya dewasa dan berhasil meraih kesuksesan sebagai pengusaha. Belakangan, keahliannya di bidang perikanan dan kelautannya menjadikannya seorang Menteri yang cukup fenomenal, mengingat ia tidak memiliki ijazah SMA. Ia benar-benar wanita yang sangat inspiratif. Perjalanannya tidak mulus begitu saja, melainkan mengalami jatuh bangun yang benar-benar menguji mental.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '264 halaman', 'Dimensi': '20.5x13.1 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Achmad Farid', 'Berat': '300 gram', 'Product Tags': ' \nachmad farid\nbuku pengetahuan sosial\nchecklist\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/kisah-perjuangan-inspirasi-susi-pudjiastuti.html
13,Albert Einstein Percik2 Inspirasi Dan Motivasi,"Rp.31,200 ","
Buku ini berisi tentang Albert Einstein yang merupakan seorang fisikawan, filsuf, penulis, dan menjadi salah satu ilmuwan paling berpengaruh di dunia. Bahkan kata "" Einstein"" sering diasosiasikan dengan kata pintar atau genius. Kita sering mendengar ucapan sehari-hari ""otak Einstein"" yang merujuk pada seorang siswa yang berpikiran cerdas. Einstein berhasil memecahkan berbagai hipotesa dan teori fisika yang sebelumnya masih diperdebatkan oleh para ilmuwan. Ia berhasil mencatat sebagai ilmuwan paling berpengaruh di abad ke-20. Karya-karya Einstein juga berdampak bersar pada perkembangan energi atom. Selain itu, ia juga menerbitkan lebih dari 300 karya ilmiah dari lebih dari 150 karya non-ilmiah.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '144 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Anom Whani Wicaksana', 'Berat': '200 gram', 'Product Tags': ' \nanom whani wicaksana\nbuku pengetahuan sosial\nc-klik media\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/albert-einstein-percik2-inspirasi-dan-motivasi.html
14,Martin Luther King,"Rp.31,200 ","
Buku ini berisi tentang Martin Luther, yang merupakan seorang aktivis hak asasi manusia yang berasal dari Amerika Serikat. Selama hidupnya ia terkenal dalam usahanya mengupayakan perdamaian dan pertentangan terhadap diskriminasi, rasialisme, penindasa, dan peperangan. Namanya tercatat sebagai salah satu tokoh terpenting dalam sejarah modern Amerika yang dianggap sebagai pahlawan perdamaian. Hingga akhirnya dia tewas ditembak dalam salah satu aksi damainya di Memphis pada 4 April 1968. Selain itu, ia juga tercatat sebagai Man of th Year 1963 oleh majalah Time. Kapasitasnya sebagai tokoh perdamaian dunia membuahkan Nobel Perdamaian 1964 dan menjadi peraih Nobel termuda dengan usia 35 tahun.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '125 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Anom Whani Wicaksana', 'Berat': '200 gram', 'Product Tags': ' \nanom whani wicaksana\nbuku pengetahuan sosial\nc-klik media\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/martin-luther-king.html
15,Bunda Teresa Inspirasi Dari Seorang Perempuan Penyayang,"Rp.31,200 ","
Buku ini berisi tentang Bunda Teresa yang dikenal sebagai tokoh yang rela meninggalkan harta benda dan keluarga demi menolong kaum miskin. Ia adalah sosok yang menginspirasi dunia tentang cinta kasih dan pelayanannya di Calcutta, India. Ia mengabdikan seluruh hidupnya untuk kemanusiaan. Dengan membaca buku ini kita dapat memetik pelajaran dari kisah hidup yang inspiratif.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '173 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Anom Whani Wicaksana', 'Berat': '200 gram', 'Product Tags': ' \nanom whani wicaksana\nbuku pengetahuan sosial\nc-klik media\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/bunda-teresa-inspirasi-dari-seorang-perempuan-penyayang.html
16,Plato Belajar Kepemimpinan,"Rp.31,200 ","
Buku ini berisi tentang Plato yang merupakan seorang filsuf dari Yunani. Plato mendapat julukan ""Bapak Filsafat Barat"" karena ia adlaah orang yang pertama kali membukukan pemikiran-pemikiran filsafat, diantara Phaidon, Symposion, Politeria, Phaidros, Republica, dan lain-lain. Tiga gagasan yang paling terkenal adalah gagasan tentang ide; jiwa yang meliputi rasio (kebijaksanaan), kehendak (keberanian), dan nafsu (kesopanan), dan; negara. Dengan membaca buku ini pembaca dapat mengetahui lebih jauh tentang pemikiran, inspirasi, dan motivasi dari Plato. Ada banyak kisah inspiratif dan motivatif yang akan membawa pembaca untuk menjadi manusia yang bijaksana melalui perenungan atas gagasan-gagasan Plato.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '145 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Anom Whani Wicaksana', 'Berat': '200 gram', 'Product Tags': ' \nanom whani wicaksana\nbuku pengetahuan sosial\nc-klik media\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/plato-belajar-kepemimpinan.html
17,Gianluigi Buffon The Living Legend,"Rp.71,200 ","
          Buffon adalah penjaga gawang nomor satu di Juventus dan tim nasional Italia. Kiprahnya belum tergantikan hingga saat ini. Ia meraih gelar kiper terbaik di Serie A sebanyak delapan kali. Ia merupakan salah satu kiper terbaik dunia. Buffon pernah berhasil memecahkan rekor sebagai kiper termahal dunia setelah ditransfer dari AC Parma ke Juventus pada tahun 2001 dengan mahar 45 juta euro. Ia juga berhasil meraih banyak gelar bersama Juventus dan menjuarai Piala Dunia 2006 bersama timnas Italia.        ","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '192 halaman', 'Dimensi': '14x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Second Hope', 'Penulis': 'Dadi Purnama Eksan', 'Berat': '200 gram', 'Product Tags': ' \nbiografi\nbuku biografi\ndadi purnama eksan\nsecond hope\n\n'}",https://www.solusibuku.com/biografi/gianluigi-buffon-the-living-legend.html
18,Ridwan Kamil Pemimpin Kreatif Era Milenial,"Rp.31,200 ","
Buku ini merupakan catatan dan inspirasi dari Kang Emil untuk siapa pun yang ingin jadi pemimpin. Perjalanan hidupnya sejak kecil terpapar jelas dan menarik. Ia sudah berjualan es mambo sejak kecil, hidup pas-pasan sewaktu menimba ilmu di AS, mengaku miskin karena tidak mempunyai biaya saat istrinya melahirkan, perjalanan meniti karier, hingga kedekatannya dengan warga. Buku ini dapat memberi pelajaran positif dan motivasi bagi pembaca untuk, selalu percaya bahwa perubahan menuju kebaikan bukanlah sesuatu hal yang mustahil. Ridwan Kamil selalu berada dalam koridor tersebut.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '204 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Anom Whani Wicaksana', 'Berat': '250 gram', 'Product Tags': ' \nanom whani wicaksana\nbuku pengetahuan sosial\nc-klik media\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/ridwan-kamil-pemimpin-kreatif-era-milenial.html
19,Sukarno  Biografi Lengkap Negarawan Sejati,"Rp.60,000 ","
Buku ini merangkum perjalanan hidup Sukarno mulai sejak masih kecil hingga wafat dan berupaya menempatkan Sukarno sebagai manusia yang lengkap. Selain itu, buku ini ditulis dengan bahasa yang mudah dipahami dan cara cerita yang menarik. Dramatisasinya membuat pembaca terbawa untuk menyelami kehidupan Sukarno yang berliku-liku.
","{'Kategori': 'Biografi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '399 halaman', 'Dimensi': '20x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Anom Whani Wicaksana', 'Berat': '500 gram', 'Product Tags': ' \nanom whani wicaksana\nbuku pengetahuan sosial\nc-klik media\npengetahuan sosial\n\n'}",https://www.solusibuku.com/biografi/sukarno-biografi-lengkap-negarawan-sejati.html
