,nama,harga,deskripsi,detail,link gambar,link
0,UndangUndang Asn Aparatur Sipil Negara,"Rp.38,400 ","
          Buku ini berisikan Undang-Undang sesuai ketentuan Undang-Undang Nomor 5 Tahun 2014 tentang Aparatur Sipil Negara dan dilengkapi dengan Rancangan Undang-Undang (RUU) tahun 2016 tentang perubahan Undang-Undang Nomor 5 Tahun 2014 tentang Aparatur Sipil Negara.        ","{'Kategori': 'Hukum', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '302 halaman', 'Dimensi': '21x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Bhafana Publishing', 'Penulis': 'Tim Bhafana', 'Berat': '500 gram', 'Product Tags': ' \nbhafana publishing\nbuku hukum\nhukum\ntim bhafana\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide094-cr-500x500.jpeg,https://www.solusibuku.com/hukum/undang-undang-asn-aparatur-sipil-negara.html
1,Kamus Istilah Hukum Superlengkap,"Rp.79,200 ","
Buku ini berisi tentang kamus istilah-istilah hukum. Kamus nan praktis ini bisa menjadi pilihan utama, karena di dalamnya berisi istilah-istilah hukum yang terangkum lengkap, baik yang berasal dari bahasa asing maupun daerah. Penjelasannya singkat, padat, namun sangat jelas dan mudah dipahami. Disusun secara alfabetis sehingga mudah dicari. Istilah yang termuat dalam buku ini meliputi berbagai bidang hukum, seperti hukum internasional, pidana, perdata, agraria, administrasi negara, dan sebagainya. Cocok digunakan untuk pelajar, mahasiswa Hukum, wartawan, humas, pejabat publik, dan masyarakat umum.
","{'Kategori': 'Hukum', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '596 halaman', 'Dimensi': '12.5x18.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Tim Beranda Yusticia', 'Berat': '400 gram', 'Product Tags': ' \nbuku kamus\nc-klik media\nkamus\ntim beranda yusticia\n\n'}",https://www.solusibuku.com/image/c/data/produk/2018/Slide562-cr-500x500.jpeg,https://www.solusibuku.com/hukum/kamus-istilah-hukum-superlengkap.html
2,Kuhp & Kuhap Ts,"Rp.64,000 ","
          Perkembangan pengetahuan dan kesadaran hukum di masyarakat, maka pengetahuan hukum sangatlah penting. Buku ini berisi Kitab Undang-undang Hukum Pidana (KUHP) dan Kitab Undang-undang Hukum Acara Pidana (KUHAP) yang masih menjadi salah satu kiblat sumber hukum di Indonesia. Buku ini juga dilengkapi dengan Penjelasan UU RI No. 8 tahun 1981 tentang Hukum Acara Pidana (KUHAP), Peraturan Pemerintah No. 27 tahun 1983 tentang Hukum Acara Pidana, Pejelasan Peraturan Pemerintah No. 27 tahun 1983 tentang Pelaksanaan Kitab Undang-undang Hukum Acara Pidana, dan masih banyak lagi. Semoga buku ini dapat menambah wawasan, sumber pengetahuan, serta dapat digunakan dalam kebutuhan/praktek hukum dimasyarakat.        ","{'Kategori': 'Hukum', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '333 halaman', 'Dimensi': '15x23 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Terang Sejati', 'Penulis': 'Tim Redaksi', 'Berat': '500 gram', 'Product Tags': ' \nbuku hukum\nhukum\nterang sejati\ntim redaksi\n\n'}",https://www.solusibuku.com/image/c/data/produk/2019/Slide187-cr-500x500.jpeg,https://www.solusibuku.com/hukum/kuhp-kuhap-ts.html
3,Kuhp & Kuhap Superkomplet Charissa,"Rp.68,000 ","
          Buku ini merupakan buku yang berisi tentang hukum pidana yang terdiri atas aturan umum, kejahatan, dan pelanggaran. Selain itu, dalam buku ini juga terdapat undang-undang nomor 8 mengenai hukum acara pidana. Selain materi pokok tersebut, dalam buku ini disertai dengan materi hukum di luar KUHP yang memuat tentang pidana dan daftar Kabinet Menteri Indonesia Maju 2019 – 2024.        ","{'Kategori': 'Hukum', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '402 Halaman', 'Dimensi': '20.5 x 13.5 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Charissa Publisher', 'Berat': '300 gram', 'Product Tags': ' \nCharissa Publisher\n\n'}",https://www.solusibuku.com/image/c/data/produk/2019/desember/Slide17-cr-500x500.jpeg,https://www.solusibuku.com/hukum/kuhp-dan-kuhap-superkomplet-charissa.html
4,Antologi Untaian Mutiara Hukum Lintas Praktik Dan Sektor,"Rp.120,000","
Antologi Untaian Mutiara Hukum Lintas Praktik dan Sektor Karya 24 Penulis Hebat Alumni FHUI 91.
Buku ini sangat rekomen untuk dibaca karena memuat gagasan serta pemikiran dibidang hukum dari sudut pandang masing-masing penulis yang sudah berpengalaman dan profesional.
Pengiriman Buku akan dimulai untuk Batch 1 periode 11-13 Desember 2021.
Buku paling dicari untuk pengayaan ilmu pengetahuan dan menunjang kebutuhan membaca.
Cocok digunakan oleh para siswa sekolah, mahasiswa dan umum.
Silahkan dibeli, kami berikan pelayanan prima dengan packing bubble wrap jaminan aman sampai tujuan.
Garansi 100% tukar produk baru apabila produk yg diterima rusak atau cacat dlm proses pengiriman.
Standar Pengemasan Bukunesia
1. Free Double Bubble wrap pengemasan dijamin aman 100%
2. Produk Asli dan Berkualitas langsung dr rekan penerbit
3. Fast respon dan komunikatif
4. Lokasi toko dijakarta mudah dijangkau dan tersedia banyak pilihan jasa pengiriman
5. Dengan sepenuh hati akan melayani pesananmu
 
","{'Kategori': 'Hukum', 'Ketebalan': '378', 'Dimensi': ' 23 X 15 X 2,5 ', 'Bahasa': 'Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Efde Media', 'Berat': '400 gram', 'Product Tags': ''}",https://www.solusibuku.com/image/c/data/2021/STOINTANTOLOGIUNTAIANMUTIARA-cr-500x500.JPG,https://www.solusibuku.com/hukum?product_id=5469
